"Inventar-Nr","Status","Hersteller","Modell","Kurzbezeichnung","Objekttyp","Farbe","Seriennummer","Kaufdatum","Einkaufspreis","Gerätefoto","Standort","Bereich","Unterkategorie","Zuständige Person","Vorbesitzer","Zustandshinweis"
"0005","Ausgemustert","Sennheiser","SKM","Mikrofon","Mikrofon","Schwarz","1123254738",,,"IMG_2956.JPG","Gemindesaal","[""Medientechnik""]","[""Audio""]",,,
"0006","Ausgemustert","Sennheiser","SKM","Mikrofon","Mikrofon","Schwarz","1123254737",,,"IMG_2957.JPG","Gemindesaal","[""Medientechnik""]","[""Audio""]",,,
"0013","Ausgemustert","Sennheiser","SK","IEM Bodypack","IEM System Drahtlos","Schwarz","1121166772",,,"IMG_2964.JPG","Gemindesaal","[""Medientechnik""]","[""Audio""]",,,
"0014","Ausgemustert","Sennheiser","SK ","IEM Bodypack","IEM System Drahtlos","Schwarz","1133314866",,,"IMG_2966.JPG","Gemindesaal","[""Medientechnik""]","[""Audio""]",,,
"0016","Ausgemustert","Sennheiser","SK","IEM Bodypack","IEM System Drahtlos","Schwarz","1161174346",,,"IMG_2968.JPG","Gemindesaal","[""Medientechnik""]","[""Audio""]",,,
"0017","Ausgemustert","Sennheiser","SK","IEM Bodypack","IEM System Drahtlos","Schwarz","1156362345",,,"IMG_2969.JPG","Gemindesaal","[""Medientechnik""]","[""Audio""]",,,
"0022","Ausgemustert","Sony","PXW-FS5","Kamera","Videokamera","Schwarz","1600060",,,"IMG_2979.JPG","Studio","[""Medientechnik""]","[""Video""]",,,
"0027","Ausgemustert","Sony","PXW-FS5","Kamera","Videokamera","Schwarz","1602080",,,"IMG_2985.JPG","Studio","[""Medientechnik""]","[""Video""]",,,
"0032","Ausgemustert","Sony"," SELP18105G","Objektiv","Objektiv","Schwarz","2122795",,,"IMG_2989.JPG","Studio","[""Medientechnik""]","[""Video""]",,,
"0044","Ausgemustert","Metabones","Ultra 0.71x - Speedbooster","Lavaliermikrofon","Objektiv","Schwarz","21A023481020",,,"IMG_3003[1].JPG","Studio","[""Medientechnik""]","[""Video""]",,,
"0050","Ausgemustert","Metabones","Ultra 0.71x - Speedbooster","Wireless Display Adapter","Objektiv","Schwarz","21A028511017",,,"IMG_3037[1].JPG","Lagerraum","[""Medientechnik""]","[""Video""]",,,
"0063","Ausgemustert","Netgear","GS108PEv3","Switch","Netzwerk-Switch","Space grau","3UJ8965902D01",,,"IMG_3050[1].JPG","Lagerraum","[""Medientechnik""]","[""Video""]",,,
"0081","Ausgemustert","Eurolite","PAR-16xy","Lampe","Lampe","Space grau","2173338PAB08689",,,"IMG_3079[1].JPG","Lagerraum","[""Medientechnik""]","[""Licht""]",,,
"0085","Ausgemustert","HP","RP55810","PC","Computer","Schwarz","CZC61771TC",,,"IMG_3088[1].JPG","Lagerraum","[""Medientechnik""]","[""Video"",""Licht"",""GFX""]",,,
"0086","Ausgemustert","HP","RP55810","PC","Computer","Schwarz","CZC7148GFB",,,"IMG_3089[1].JPG","Lagerraum","[""Medientechnik""]","[""Video"",""Audio"",""Licht""]",,,
"0087","Ausgemustert","NEC","VT49","Projektor","Projektor","Weiß","7640241ED",,,"IMG_3093[1].JPG","Lagerraum","[""Medientechnik""]","[""Video"",""Audio"",""Licht""]",,,
"0090","Ausgemustert","Digitus","8-Port HDMI Video Splitter","Video-Extender","Videohub","Schwarz","Kein",,,"IMG_3098[1].JPG","Lagerrraum","[""Medientechnik""]","[""Video""]",,,
"0091","Ausgemustert","Digitus","8-Port HDMI Video Splitter","Video-Extender","Videohub","Schwarz","Kein",,,"IMG_3099[1].JPG","Lagerraum","[""Medientechnik""]","[""Video""]",,,
"0093","Ausgemustert","Digitus","DS-43110","HDMI-Extender Receiver","HDMI Extender Reciever","Schwarz","HSP0108E-201212030023",,,"IMG_3101[1].JPG","Lagerraum","[""Medientechnik""]","[""Video""]",,,
"0095","Ausgemustert","Samsung","T220","Bildschirm","Bildschirm","Schwarz","TW22H9MS818440F",,,"IMG_3103[1].JPG","Büro 2","[""Medientechnik""]","[""Video""]",,,
"0140","Ausgemustert","Superlux","HMD685a","Intercom Headset","Intercom-Headset","Schwarz","Kein",,,"Reserved_ImageAttachment_[11]_[DevicePhoto][32]_[34f3ca0ea2804dd3a70997eb204b3502][2]_[12].png","E006 Saal","[""Medientechnik""]","[""Video""]",,,"Mikrofonarm abgebrochen, wurde wieder geklebt.

14.02.2026 - Mikrofonarm erneut abgebrochen - Headset ausgemustert"
"0158","Ausgemustert","Yamaha","MG16/4","16-Kanal Analog-Mischpult","Audio-Mixer","Blau","JX01329",,,"IMG_3202[1].JPG","Regie","[""Medientechnik""]",,,,"Einzelne Fader knacksen

Pult wurde für den Probenraum in GM abgegeben"
"0163","Ausgemustert","Apple","Retina 5K, 27 Zoll, Ende 2015","iMac","Computer","Space grau","DGKTHHLGGQ17",,,"IMG_3209[1].JPG","Regie","[""Medientechnik""]","[""GFX""]","Sascha Siemens | EF-Köln",,"Verkauft"
"0164","Ausgemustert","iiyama","ProLite TM2452MTS","Bildschirm","Bildschirm","Schwarz","1132650900891",,,"IMG_3211[1].JPG","Regie","[""Medientechnik""]","[""Video"",""Audio"",""GFX""]",,,"Unterstützte Bildformate:
1080p50_p60 (3G)
1080i50_i60 (flimmert leicht)

NICHT UNTERSTÜTZT:
1080p25_p30"
"0165","Ausgemustert","Riedel","BP-100","Intercom Beltpack","Intercom","Schwarz","003501",,,"IMG_3212[1].JPG","Regie","[""Medientechnik""]","[""Audio""]",,,
"0175","Ausgemustert","Meyer Sound","USW-1P","Lautsprecher","Lautsprecher","Schwarz","02353798",,,"IMG_3228[1].JPG","Saal","[""Medientechnik""]","[""Audio""]",,,
"0192","Ausgemustert","Riedel","BP-100","Intercom Beltpack","Intercom","Schwarz","Kein",,,"IMG_3253[1].JPG","Regie","[""Medientechnik""]","[""Audio""]",,,
"0217","Ausgemustert","HP","D1P35AV","PC","Computer","Schwarz","CZC3460Y60",,,"IMG_3295[1].JPG","Saal (Lichttechnik) ","[""Medientechnik""]","[""Licht""]",,,
"0236","Ausgemustert","Jelly Comb ","IWG-WJTZ01",,"Tastatur","Weiß","2021030301413",,,"IMG_3326[1].JPG","Studio ","[""Medientechnik""]",,,,
"0238","Ausgemustert","Yamaha","TF5","TF5","Audio-Mixer","Space grau","ECYK01059",,,"IMG_3329[1].JPG","Studio","[""Medientechnik""]","[""Audio""]",,,
"0247","Ausgemustert","NEC","DS1-MP10RX",,"MultiPresenter Stick","Schwarz","692006219B","21.04.2022","15,00","IMG_3443[1].JPG","Techniklager","[""Medientechnik""]","[""Video""]",,,
"0265","Ausgemustert","Huawei","B528s-23a",,"LTE Router","Weiß","DNLDW18614001759","23.05.2022",,"IMG_4876.jpg",,"[""Medientechnik""]","[""Video""]",,,
"0306","Ausgemustert","AJA","Helo",,"Streaming Encoder","Grau","1HE002018",,,"IMG_7626.JPG","Videoregie","[""Medientechnik""]","[""Video""]",,,
"0330","Ausgemustert","Sony","Alpha7SIII","Sony Alpha","Videokamera","Schwarz","3786309",,,"IMG_4572.jpg","Techniklager","[""Medientechnik""]","[""Video""]",,,
"0334","Ausgemustert","Sony","SEL2870",,"Objektiv","Schwarz","0792870",,,"IMG_4582.jpg",,"[""Medientechnik""]","[""Video""]",,,
"0335","Ausgemustert",,"Mini Prime 25mm",,"Objektiv","Schwarz","V153552",,,"IMG_4583.jpg",,"[""Medientechnik""]","[""Video""]",,,
"0339","Ausgemustert","Blackmagic Design","Mini Converter HDMI to SDI","HDMI to SDI Converter","Converter HDMI to SDI","Grau","101594",,,"IMG_6339.JPG",,"[""Medientechnik""]","[""Video""]",,,"DEFEKT"
"1001","In Verwendung","Terra","1516","Notebook","Laptop","Schwarz","R858585","01.10.2021","500,00","Terra 1515.png","Sekretariat","[""Büro""]",,"Alexandra Alberg | EF-Köln","Manuel Siemens | EF-Köln","Normale Gebrauchsspuren, B-Taste klemmt etwas"
"0001","In Verwendung","Sony","EX1-R","Kamera","Videokamera","Schwarz","100570",,,"IMG_3486.jpg","Gemeindesaal","[""Medientechnik""]","[""Video""]",,,
"0002","In Verwendung","Sony","PMW-200","Kamera","Videokamera","Schwarz","431413",,,"IMG_3487.jpg","Gemeindesaal","[""Medientechnik""]","[""Video""]",,,
"0003","In Verwendung","Lilliput","FS7","Fieldmonitor","Fieldmonitor","Schwarz","A69551077",,,"IMG_2954.JPG","Gemindesaal","[""Medientechnik""]","[""Video""]",,,
"0004","In Verwendung","Lilliput","FS7","Fieldmonitor","Fieldmonitor","Schwarz","B638610187",,,"IMG_2955.JPG","Gemindesaal","[""Medientechnik""]","[""Video""]",,,
"0007","In Verwendung","Sennheiser","EK IEM","IEM Bodypack","IEM System Drahtlos","Schwarz","1101012212",,,"IMG_2958.JPG","Gemindesaal","[""Medientechnik""]","[""Audio""]",,,
"0008","In Verwendung","Sennheiser","EK IEM","IEM Bodypack","IEM System Drahtlos","Schwarz","1101012209",,,"IMG_2959.JPG","Gemindesaal","[""Medientechnik""]","[""Audio""]",,,
"0009","In Verwendung","Sennheiser","EK IEM","IEM Bodypack","IEM System Drahtlos","Schwarz","1111012371",,,"IMG_2960.JPG","Gemindesaal","[""Medientechnik""]","[""Audio""]",,,
"0010","In Verwendung","Sennheiser","EK IEM","IEM Bodypack","IEM System Drahtlos","Schwarz","1111012377",,,"IMG_2961.JPG","Gemindesaal","[""Medientechnik""]","[""GFX""]",,,
"0011","In Verwendung","Sennheiser","EK IEM","IEM Bodypack","IEM System Drahtlos","Schwarz","1101012004",,,"IMG_2962.JPG","Gemindesaal","[""Medientechnik""]","[""Audio""]",,,
"0012","In Verwendung","Sennheiser","EK IEM","IEM Bodypack","IEM System Drahtlos","Schwarz","1101012201",,,"IMG_2963.JPG","Gemindesaal","[""Medientechnik""]","[""Audio""]",,,
"0015","In Verwendung","Lilliput","FS7","Fieldmonitor","Fieldmonitor","Schwarz","FS7B638610068",,,"IMG_2967.JPG","Gemindesaal","[""Medientechnik""]","[""Video""]",,,
"0018","In Verwendung","DPA","DPA 4166-OL-F-F00-LH","Headset","Headset Mikrofon","Beige","C033889",,,"IMG_2970.JPG",,"[""Medientechnik""]","[""Audio""]",,,
"0019","In Verwendung","DPA","4166-OL-F-F00-LH","Headset","Headset Mikrofon","Beige","C033877",,,"IMG_2971.JPG","Gemindesaal","[""Medientechnik""]","[""Audio""]",,,"Größe S"
"0020","In Verwendung","DPA","4466-OC-R-F00","Headset","Headset Mikrofon","Beige","C057265","15.10.2021","639,75","IMG_2972.JPG","Gemindesaal","[""Medientechnik""]","[""Audio""]",,,
"0021","In Verwendung","DPA","4466-OC-R-F00","Headset","Headset Mikrofon","Beige","C057270","15.10.2021","639,75","IMG_2973.JPG","Gemindesaal","[""Medientechnik""]","[""Audio""]",,,
"0023","In Verwendung","Lilliput","A11","Fieldmonitor","Fieldmonitor","Schwarz","A505350141",,,"IMG_2980.JPG","Videoregie","[""Medientechnik""]","[""Video""]",,,
"0024","In Verwendung","Sony","BP-U30","Akku","Kamera-Akku","Schwarz","20140514",,,"IMG_2981.JPG","Studio","[""Medientechnik""]","[""Video""]",,,
"0025","In Verwendung","Patona","BP-U60","Akku","Kamera-Akku","Schwarz","ohne",,,"IMG_2982.JPG","Studio","[""Medientechnik""]","[""Video""]",,,
"0026","In Verwendung","Neewer","NL480","Studioleuchte","Studioleuchte","Schwarz","ohne",,,"IMG_2983.JPG","Studio","[""Medientechnik""]","[""Licht""]",,,
"0028","In Verwendung","Neewer","NL480","Studioleuchte","Studioleuchte","Schwarz","ohne",,,"IMG_2984.JPG","Studio","[""Medientechnik""]","[""Licht""]",,,
"0029","In Verwendung","Sony","BP-U30","Akku","Kamera-Akku","Schwarz","20091126",,,"IMG_2986.JPG","Studio","[""Medientechnik""]","[""Video""]",,,
"0030","In Verwendung","Patona","BP-U60","Akku","Kamera-Akku","Schwarz","ohne",,,"IMG_2987.JPG","Studio","[""Medientechnik""]","[""Video""]",,,
"0031","In Verwendung","SWIT","S-8U63","Akku","Kamera-Akku","Schwarz","00137264",,,"IMG_2988.JPG","Studio","[""Medientechnik""]","[""Video""]",,,
"0033","In Verwendung","Manfrotto","244N Variable Friction Arm","MagicArm","Gelenk-Arm","Schwarz","D2305635",,,"IMG_2991.JPG","Studio","[""Medientechnik""]","[""Video"",""Licht"",""Audio""]",,,
"0034","In Verwendung","9.Solutions","ohne","Zubehörstativ","Gelenk-Arm","Grau","ohne",,,"IMG_2992.JPG","Studio","[""Medientechnik""]","[""Video""]",,,
"0035","In Verwendung","Manfrotto","1005BAC","Zubehörstativ","Stativ Licht","Schwarz","D2336076",,,"IMG_2993.JPG","Studio","[""Medientechnik""]","[""Video""]",,,
"0036","In Verwendung","Manfrotto","1005BAC","Zubehörstativ","Stativ Licht","Schwarz","D2336082",,,"IMG_2994.JPG","Studio","[""Medientechnik""]","[""Video""]",,,
"0037","In Verwendung","Manfrotto","1005BAC","Zubehörstativ","Stativ Licht","Schwarz",,,,"IMG_2995.JPG","Studio","[""Medientechnik""]","[""Video""]",,,
"0038","In Verwendung","Manfrotto","244N Variable Friction Arm","MagicArm","Gelenk-Arm","Schwarz","D2682667",,,"IMG_2996.JPG","Studio","[""Medientechnik""]","[""Video"",""Licht"",""Audio""]",,,
"0039","In Verwendung","Manfrotto","244N Variable Friction Arm","MagicArm","Gelenk-Arm","Schwarz","D2695300",,,"IMG_2997.JPG","Studio","[""Medientechnik""]","[""Video"",""Licht"",""Audio""]",,,
"0040","In Verwendung","Neewer","kein","Zubehörstativ","Stativ Licht","Schwarz","kein",,,"IMG_2998.JPG","Studio","[""Medientechnik""]","[""Video""]",,,
"0041","In Verwendung","Neewer","RP20-B - Ringleuchte","Ringleuchte","Studioleuchte","Schwarz","kein",,,"IMG_2999.JPG","Studio","[""Medientechnik""]","[""Licht""]",,,
"0042","In Verwendung","Kandao","MT0822","Adlerauge","Videokonferenz-System","Space grau","OX5511002137",,,"IMG_3001.JPG","Studio","[""Medientechnik""]","[""Video""]",,,
"0043","In Verwendung","Kandao","RM0822","Fernbedienung Adlerauge","Videokonferenz-System","Schwarz","WH201218B",,,"IMG_3002[1].JPG","Studio","[""Medientechnik""]","[""Video""]",,,
"0045","In Verwendung","Røde","Lavalier","Lavaliermikrofon","Lavaliermikrofon","Schwarz","BD0040123",,,"IMG_3004[1].JPG","Studio","[""Medientechnik""]","[""Audio""]",,,
"0046","In Verwendung","Røde","Lavalier","Lavaliermikrofon","Lavaliermikrofon","Schwarz","BD0037970",,,"IMG_3005[1].JPG","Studio","[""Medientechnik""]","[""Audio""]",,,
"0047","In Verwendung","Milwaukee","LDM 30 - Laser-Entfernungsmessgerät","Entfernungsmessgerät","Messgerät","Rot","000403 A201",,,"IMG_3033[1].JPG","Lagerraum","[""Medientechnik""]","[""Licht""]",,,
"0048","In Verwendung","Peak Meter","0048","Luxmeter","Messgerät","Schwarz","H11H-J79852",,,"IMG_3034[1].JPG","Lagerraum","[""Medientechnik""]","[""Licht""]",,,
"0049","In Verwendung","Blackmagic Design","Videohub Smart Control","Videohub Smart Control Panel","Videohub","Space grau","RCPBMD.064",,,"IMG_3036[1].JPG","Lagerraum","[""Medientechnik""]","[""Video""]",,,
"0051","In Verwendung","Blackmagic Design","Videohub Smart Control","Videohub Smart Control Panel","Videohub","Space grau","RCPMBD.074",,,"IMG_3038[1].JPG","Lagerraum","[""Medientechnik""]","[""Video""]",,,
"0052","In Verwendung","Microsoft","Wireless Display Adapter","Wireless Display Adapter","Video-Interface","Schwarz","0853651051523",,,"IMG_3039[1].JPG","Lagerraum","[""Medientechnik""]","[""Video""]",,,
"0053","In Verwendung","Microsoft","Wireless Display Adapter","Wireless Display Adapter","Video-Interface","Schwarz","0851932051523",,,"IMG_3040[1].JPG","Lagerraum","[""Medientechnik""]","[""Video""]",,,
"0054","In Verwendung","Audinate","ADP-DAO-AU-0X2","Dante Analog-Output","Audio-Interface","Schwarz","DAO2-AU-50B28F",,,"IMG_3041[1].JPG","Lagerraum","[""Medientechnik""]","[""Video""]",,,
"0055","In Verwendung","Canon","ZSD-15M II - Hinterkamerabedienung","Hinterkamerabedienung","Zubehör Videokamera","Schwarz","401",,,"IMG_3042[1].JPG","Lagerraum","[""Medientechnik""]","[""Video""]",,,
"0056","In Verwendung","Behringer","XENYX502","Mini-Mischpult","Audio-Mixer","Schwarz","S1319712576",,,"IMG_3043[1].JPG","Lagerraum","[""Medientechnik""]","[""Audio""]",,,
"0057","In Verwendung","Behringer","Micro Mon MA400","Kopfhörerverstärker","Audio-Mixer","Space grau","S1210268491",,,"IMG_3044[1].JPG","Lagerraum","[""Medientechnik""]","[""Audio""]",,,
"0058","In Verwendung","Millenium","HPA in Ear","Mini-Mischpult","Audio-Mixer","Schwarz","2172831UBD00140",,,"IMG_3045[1].JPG","GFX Platz","[""Medientechnik""]","[""Audio""]",,,
"0059","In Verwendung","Behringer","XENYX302USB","Mini-Mischpult","Audio-Mixer","Space grau","S1319152ADV",,,"IMG_3046[1].JPG","Lagerraum","[""Medientechnik""]","[""Audio""]",,,
"0060","In Verwendung","Netgear","GS105E","Switch","Netzwerk-Switch","Space grau","29BB353U50695",,,"IMG_3047[1].JPG","Lagerraum","[""Medientechnik""]","[""Video""]",,,
"0061","In Verwendung","Behringer","XENYX302USB","Mini-Mischpult","Audio-Mixer","Space grau","S1319174ADV",,,"IMG_3048[1].JPG","Lagerraum","[""Medientechnik""]","[""Audio""]",,,
"0062","In Verwendung","Behringer","XENYX302USB","Mini-Mischpult","Audio-Mixer","Space grau","S1319122ADV",,,"IMG_3049[1].JPG","Lagerraum","[""Medientechnik""]","[""Audio""]",,,
"0064","In Verwendung","Kein","HDMI Extender TCP/IP","HDMI-Extender Empfänger","Converter Video","Schwarz","L8618445550",,,"IMG_3051[1].JPG","Lagerraum","[""Medientechnik""]","[""Video""]",,,
"0065","In Verwendung","Kein","HDMI Extender TCP/IP","HDMI-Extender Sender","Converter Video","Schwarz","L8618504783",,,"IMG_3052[1].JPG","Lagerraum","[""Medientechnik""]","[""Video""]",,,
"0066","In Verwendung","Kein","HDMI Extender TCP/IP ","HDMI-Extender Empfänger","Converter Video","Schwarz","L8618368123",,,"IMG_3053[1].JPG","Lagerraum","[""Medientechnik""]","[""Video""]",,,
"0067","In Verwendung","Kein","HDMI Extender TCP/IP","HDMI-Extender Sender","Converter Video","Schwarz","L8618446934",,,"IMG_3054[1].JPG","Lagerraum","[""Medientechnik""]","[""Video""]",,,
"0069","In Verwendung","SZe","CF-Player Full HD","Video CF-Player","Video-Ausspieler","Silber","CF861069",,,"IMG_3056[1].JPG","Lagerraum","[""Medientechnik""]","[""Video""]",,,
"0070","In Verwendung","ClearCom","PK-5","Intercom PowerSupply","Intercom","Grau","Kein",,,"IMG_3057[1].JPG","Lagerraum","[""Medientechnik""]","[""Video""]",,,
"0071","In Verwendung","Lindy","C6 100m","HDMI Extender Empfänger","HDMI Extender Reciever","Schwarz","Kein",,,"IMG_3058[1].JPG","Lagerraum","[""Medientechnik""]","[""Video""]",,,
"0072","In Verwendung","Lindy","HDBaseT","HDMI-Extender Sender","Converter Video","Schwarz","Kein",,,"IMG_3059[1].JPG","Lagerraum","[""Medientechnik""]","[""Video""]",,,
"0073","In Verwendung","Lindy","C6 100m","HDMI-Extender Empfänger","Converter Video","Schwarz","Kein",,,"IMG_3060[1].JPG","Lagerraum","[""Medientechnik""]","[""Video""]",,,
"0074","In Verwendung","Lindy","HDBaseT","HDMI-Extender Sender","Converter Video","Schwarz","Kein",,,"IMG_3061[1].JPG","Lagerraum","[""Medientechnik""]","[""Video""]",,,
"0501","In Verwendung","Milwaukee","Akku Schrauber M 18ONEPD2 mit 2 Akkus 5,0 Ah und einem Ladegerät M12-18 FC",,"Akku Schrauber","Rot",,,,"processed-A4A4C277-DF51-4CA2-BF8A-CDAA7D5C7362-09C43049-B405-4EAE-A367-521AC6F04EF9.jpeg","Technikraum (Keller)","[""Handwerk""]",,"John Markus Görzen | EF-Köln",,
"0502","In Verwendung","Milwaukee","Akku Schrauber M 18ONEPD2 mit 2 Akkus 5,0 Ah ",,"Akku Schrauber","Rot",,,,"processed-625FB2EA-2633-4BA5-A771-A8B2C8BB82B3-B21DB9A1-344B-48B8-A22A-D8A7611E31F4.jpeg","Haus Lichthof","[""Handwerk""]",,"Artur Daskewitsch | EF-Köln",,
"0505","In Verwendung","Milwaukee","Milwaukee Stemmhammer PLH 28XE ",,"Bohr/Stemmhammer","Rot",,,,"processed-5757EDF5-1D89-4E58-B422-F818B56ABF17-499187AE-E161-485B-8516-AA6A3F8CACCA.jpeg","Werkzeugcontainer","[""Handwerk""]",,"Rudi Hermann | EF-Köln",,
"0506","In Verwendung","Milwaukee","Akku Flex Milwaukee M 18 ONE SAG 125XB, 2 Akkus ",,"Akku Flex","Rot",,,,"processed-FE3648DA-4E53-41E5-9F8B-6DCFC4C57202-DBF50752-C904-4570-AF10-C37A6E321218.jpeg","Werkzeugcontainer","[""Handwerk""]",,"Rudi Hermann | EF-Köln",,
"0508","In Verwendung","Milwaukee","Akku Schrauber Milwaukee M 18 CBL PD, 2 AKKUS",,"Akku Schrauber","Rot",,,,"processed-05E47BBB-5A4A-400E-83D4-8057783893C2-FA0E8FE7-C0E0-4718-B5C8-52DFF354DB0B.jpeg","Haus Lichthof","[""Handwerk""]",,"Artur Daskewitsch | EF-Köln",,
"0512","In Verwendung","Milwaukee","Stativ Baustrahler M 18 HOS ALC",,"Stativ Baustrahler","Rot",,,,"processed-C51B10C3-32DF-437C-99A6-60FB885D1167-364AE546-9D53-4BEB-951A-5E42CC9C92BF.jpeg","Werkzeugcontainer","[""Handwerk""]",,"Rudi Hermann | EF-Köln",,
"0513","In Verwendung","Milwaukee","Industriesauger AS-30 LAC",,"Industriesauger","Rot",,,,"processed-6E575CE9-56BE-40ED-A9E5-97CAB0A1D79A-EC02FBDA-9D13-4EF3-83A8-B64B41244BA8.jpeg","Werkzeugcontainer ","[""Handwerk""]",,"Rudi Hermann | EF-Köln",,
"0075","In Verwendung","Gefen","DVI-2-HDSDISP.003 Scaler","HDMI-Extender Empfänger","Converter Video","Schwarz","Kein",,,"IMG_3072[1].JPG","Lagerraum","[""Medientechnik""]","[""Video""]",,,
"0076","In Verwendung","Perixx","Periboard-505 Plus","Tastatur","Tastatur","Schwarz","1810000611",,,"IMG_3073[1].JPG","Lagerraum","[""Medientechnik""]","[""GFX""]",,,
"0077","In Verwendung","Cherry","RS 6000 USB","Tastatur","Tastatur","Space grau","G08029574A191",,,"IMG_3074[1].JPG","Lagerraum","[""Medientechnik""]","[""GFX""]",,,
"0078","In Verwendung","Dell","KB2112-B","Tastatur","Tastatur","Schwarz","CN-0F9HDR-71616-1BB-003W-A00",,,"IMG_3075[1].JPG","Lagerraum","[""Medientechnik""]","[""GFX""]",,,
"0079","In Verwendung","Lenovo","ThinkPad T410i","Laptop","Laptop","Schwarz","R8-88CYR 10/05",,,"IMG_3076[1].JPG","Lagerraum","[""Medientechnik""]","[""Video""]",,,"Der Bildschirm der Computer ist ein bisschen kaputt aber es funktioniert noch. "
"0080","In Verwendung","Superlux","HMD-660","Headset","Kopfhörer-Headset","Schwarz","Kein",,,"IMG_3078[1].JPG","Lagerraum","[""Medientechnik""]","[""Audio""]",,,
"0082","In Verwendung","Sony","SBAC-US10","SxS Cardreader","Sonstige","Schwarz","1055144",,,"IMG_3080[1].JPG","Lagerraum","[""Medientechnik""]","[""Video""]",,,
"0083","In Verwendung","EverFocus","EQH5200","Kamera","Videokamera","Grau","1KH031060140",,,"IMG_3081[1].JPG","Lagerraum","[""Medientechnik""]","[""Video""]",,,
"0084","In Verwendung","NEC","LT380","Projektor","Projektor ","Weiß","83B1109FT",,,"IMG_3087[1].JPG","Lagerraum","[""Medientechnik""]","[""Video""]",,,
"0088","In Verwendung","Yamaha","MG12XU","12-Kanal Analog-Mischpult","Audio-Mixer","Schwarz","ECWK01242",,,"IMG_3094[1].JPG","Lagerraum","[""Medientechnik""]","[""Audio""]",,,
"0089","In Verwendung","dbx","166xl","Kompressor","Audio-Interface","Schwarz","01018649",,,"IMG_3095[1].JPG","Lagerraum","[""Medientechnik""]","[""Audio""]",,,
"0092","In Verwendung","Netgear","GS7241 v4",,"Netzwerk-Switch","Blau","3H013C5T01DD3",,,"IMG_3100[1].JPG","Lagerraum","[""Medientechnik""]",,,,
"0094","In Verwendung","Acer","V223W E","Bildschirm","Bildschirm","Schwarz","00405202042",,,"IMG_3102[1].JPG","Büro 2","[""Medientechnik""]","[""Video""]",,,
"0096","In Verwendung","Terra","Mobile 1516","Laptop","Laptop","Schwarz","R6848417",,,"IMG_3105[1].JPG","Büro 2","[""Medientechnik""]","[""Video"",""Licht"",""GFX"",""Audio""]","Viktor Kamnev | EF-Köln",,
"0097","In Verwendung","iiyama","ProLite XU229OHS-B1","Bildschirm","Bildschirm","Schwarz","11297JE601388",,,"IMG_3112.JPG","Lagerraum","[""Medientechnik""]","[""Video""]",,,"Unterstützte Bildformate:
1080p50_p60 (3G)
1080i50_i60 (flimmert leicht)

NICHT UNTERSTÜTZT:
1080p25_p30"
"0098","In Verwendung","iiyama","XU2290HS-B1","Bildschirm","Bildschirm","Schwarz","11297JE601385",,,"IMG_3113.JPG","Lagerraum","[""Medientechnik""]","[""Video""]",,,"Unterstützte Bildformate:
1080p50_p60 (3G)
1080i50_i60 (flimmert leicht)

NICHT UNTERSTÜTZT:
1080p25_p30"
"0099","In Verwendung","iiyama","XU2290HS-B1","Bildschirm","Bildschirm","Schwarz","11297JE601056",,,"IMG_3114.JPG","Lagerraum","[""Medientechnik""]","[""Video""]",,,"Unterstützte Bildformate:
1080p50_p60 (3G)
1080i50_i60 (flimmert leicht)

NICHT UNTERSTÜTZT:
1080p25_p30"
"0100","In Verwendung","Lenovo","ThinkPad 2765","Laptop","Laptop","Schwarz","L3-AHT3D 09/01",,,"IMG_3115[1].JPG","Saal","[""Medientechnik""]","[""Video"",""Audio"",""Licht""]",,,
"0101","In Verwendung","Sennheiser","EM 300","Empfänger","Drahtlos-Mikrofonsystem","Space grau","1156588943",,,"IMG_3116[1].JPG","Saal","[""Medientechnik""]","[""Audio""]",,,
"0102","In Verwendung","Yamaha","QL5","QL5","Audio-Mixer","Schwarz","EAWN01002",,,"IMG_3119[1].JPG","Saal","[""Medientechnik""]","[""Audio""]",,,
"0103","In Verwendung","HP","Z230 SFF Workstation","PC","Computer","Schwarz","CZC53337K8",,,"IMG_3121[1].JPG","Saal","[""Medientechnik""]","[""Audio""]",,,
"0104","In Verwendung","Tascam","SS-R200","Audiorecorder","Audio-Interface","Schwarz","0480134",,,"IMG_3126[1].JPG","Saal","[""Medientechnik""]","[""Audio""]",,,
"0105","In Verwendung","iiyama","ProLite 2452MTS","Bildschirm","Bildschirm","Schwarz","113664000051",,,"IMG_3128[1].JPG","Saal","[""Medientechnik""]","[""Video""]",,,
"0107","In Verwendung","Behringer","Ultra-DI Model DI20","DI-Box","DI-Box aktiv","Space grau","S200400483176",,,"IMG_3130[1].JPG","Saal","[""Medientechnik""]","[""Audio""]",,,
"0108","In Verwendung","Behringer","Ultra-DI DI20","DI-Box","DI-Box aktiv","Space grau","S200400513176",,,"IMG_3131[1].JPG","Saal","[""Medientechnik""]","[""Audio""]",,,
"0109","In Verwendung","SR Technology","Mon Baby 100 W RMS","Monitor-Lautsprecher","Lautsprecher","Schwarz","1602",,,"IMG_3132.JPG","Saal","[""Medientechnik""]","[""Audio""]",,,
"0110","In Verwendung","Shure","SM58","Mikrofon","Mikrofon","Schwarz","Kein",,,"IMG_3133.JPG","Saal","[""Medientechnik""]","[""Audio""]",,,
